inputs, outputs, expected, error
0, 0.835235, 1, 0.00678686
0.05, 0.840104, 1, 0.00639171
0.1, 0.845368, 1, 0.00597773
0.15, 0.851039, 1, 0.00554733
0.2, 0.857125, 1, 0.0051033
0.25, 0.863636, 1, 0.0046488
0.3, 0.870579, 1, 0.00418743
0.35, 0.877964, 1, 0.00372322
0.4, 0.885796, 1, 0.00326062
0.45, 0.894084, 1, 0.00280453
0.5, 0.902834, 1, 0.00236032
0.55, 0.91205, 1, 0.0019338
0.6, 0.921738, 1, 0.00153124
0.65, 0.931901, 1, 0.00115937
0.7, 0.942542, 1, 0.000825352
0.75, 0.953664, 1, 0.000536765
0.8, 0.965266, 1, 0.000301609
0.85, 0.97735, 1, 0.000128258
0.9, 0.989913, 1, 2.54368e-05
0.95, 1.00295, 1, 2.18058e-06
1, 1.01647, 1, 6.77907e-05
1.05, 1.03045, 1, 0.000231784
1.1, 1.04489, 1, 0.000503834
1.15, 1.05979, 1, 0.000893708
1.2, 1.07513, 1, 0.00141119
1.25, 1.09091, 1, 0.00206601
1.3, 1.1071, 1, 0.00286776
1.35, 1.12371, 1, 0.0038258
1.4, 1.1407, 1, 0.00494914
1.45, 1.15807, 1, 0.0062464
1.5, 1.17579, 1, 0.00772566
1.55, 1.19385, 1, 0.00939436
1.6, 1.21222, 1, 0.0112592
1.65, 1.23088, 1, 0.0133261
1.7, 1.2498, 1, 0.0155999
1.75, 1.26896, 1, 0.0180847
1.8, 1.28833, 1, 0.020783
1.85, 1.30787, 1, 0.0236965
1.9, 1.32757, 1, 0.0268256
1.95, 1.34738, 1, 0.030169
2, 1.36728, 1, 0.0337244
2.05, 1.38724, 1, 0.0374878
2.1, 1.40721, 1, 0.041454
2.15, 1.42716, 1, 0.0456162
2.2, 1.44706, 1, 0.0499662
2.25, 1.46688, 1, 0.0544944
2.3, 1.48658, 1, 0.0591898
2.35, 1.50612, 1, 0.0640405
2.4, 1.52548, 1, 0.0690329
2.45, 1.54462, 1, 0.0741527
2.5, 1.56351, 1, 0.0793847
2.55, 1.58211, 2, 0.0436582
2.6, 1.6004, 2, 0.0399199
2.65, 1.61835, 2, 0.0364139
2.7, 1.63594, 2, 0.0331355
2.75, 1.65313, 2, 0.0300795
2.8, 1.66991, 2, 0.0272395
2.85, 1.68626, 2, 0.0246083
2.9, 1.70216, 2, 0.0221779
2.95, 1.71758, 2, 0.0199399
3, 1.73253, 2, 0.0178853
3.05, 1.74698, 2, 0.0160046
3.1, 1.76093, 2, 0.0142884
3.15, 1.77437, 2, 0.012727
3.2, 1.7873, 2, 0.0113104
3.25, 1.79971, 2, 0.010029
3.3, 1.8116, 2, 0.0088732
3.35, 1.82298, 2, 0.00783366
3.4, 1.83385, 2, 0.00690127
3.45, 1.84421, 2, 0.00606726
3.5, 1.85408, 2, 0.00532327
3.55, 1.86345, 2, 0.0046613
3.6, 1.87235, 2, 0.00407385
3.65, 1.88077, 2, 0.00355381
3.7, 1.88874, 2, 0.0030946
3.75, 1.89627, 2, 0.00269005
3.8, 1.90337, 2, 0.00233448
3.85, 1.91005, 2, 0.00202266
3.9, 1.91634, 2, 0.00174981
3.95, 1.92224, 2, 0.00151156
4, 1.92778, 2, 0.00130393
4.05, 1.93297, 2, 0.00112334
4.1, 1.93782, 2, 0.000966567
4.15, 1.94236, 2, 0.000830706
4.2, 1.94659, 2, 0.000713169
4.25, 1.95054, 2, 0.000611648
4.3, 1.95421, 2, 0.000524094
4.35, 1.95764, 2, 0.000448695
4.4, 1.96082, 2, 0.000383852
4.45, 1.96377, 2, 0.000328157
4.5, 1.96651, 2, 0.000280376
4.55, 1.96905, 2, 0.000239429
4.6, 1.97141, 2, 0.000204375
4.65, 1.97359, 2, 0.000174392
4.7, 1.97561, 2, 0.000148769
4.75, 1.97747, 2, 0.000126887
4.8, 1.97919, 2, 0.000108213
4.85, 1.98079, 2, 9.22858e-05
4.9, 1.98226, 2, 7.87076e-05
4.95, 1.98361, 2, 6.71366e-05

weights:
layer :0
	node: 0
		id: 0
			0.425807
		id: 1
			1.48742
		id: 2
			1.10166
		id: 3
			0.229858
		id: 4
			0.692913
	node: 1
		id: 0
			1.4604
		id: 1
			-1.37873
		id: 2
			0.0720243
		id: 3
			0.59859
		id: 4
			0.183604
layer :1
	node: 0
		id: 0
			2.8791
	node: 1
		id: 0
			2.80526
	node: 2
		id: 0
			-0.88763
	node: 3
		id: 0
			0.497439
	node: 4
		id: 0
			0.12782
layer :2
	node: 0
