inputs, outputs, expected, error
0, 1.86757, 1, 0.18817
0.02, 1.86899, 1, 0.188787
0.04, 1.87039, 1, 0.189395
0.06, 1.87177, 1, 0.189994
0.08, 1.87312, 1, 0.190585
0.1, 1.87445, 1, 0.191167
0.12, 1.87576, 1, 0.19174
0.14, 1.87705, 1, 0.192306
0.16, 1.87832, 1, 0.192862
0.18, 1.87957, 1, 0.193411
0.2, 1.8808, 1, 0.193952
0.22, 1.88201, 1, 0.194485
0.24, 1.8832, 1, 0.19501
0.26, 1.88437, 1, 0.195527
0.28, 1.88552, 1, 0.196037
0.3, 1.88665, 1, 0.196539
0.32, 1.88777, 1, 0.197034
0.34, 1.88887, 1, 0.197521
0.36, 1.88995, 1, 0.198001
0.38, 1.89101, 1, 0.198474
0.4, 1.89206, 1, 0.198941
0.42, 1.89308, 1, 0.1994
0.44, 1.8941, 1, 0.199853
0.46, 1.89509, 1, 0.200298
0.48, 1.89608, 1, 0.200738
0.5, 1.89704, 1, 0.201171
0.52, 1.89799, 1, 0.201597
0.54, 1.89893, 1, 0.202017
0.56, 1.89985, 1, 0.202431
0.58, 1.90075, 1, 0.202839
0.6, 1.90164, 1, 0.203241
0.62, 1.90252, 1, 0.203636
0.64, 1.90339, 1, 0.204026
0.66, 1.90424, 1, 0.204411
0.68, 1.90507, 1, 0.204789
0.7, 1.9059, 1, 0.205162
0.72, 1.90671, 1, 0.20553
0.74, 1.90751, 1, 0.205892
0.76, 1.90829, 1, 0.206249
0.78, 1.90907, 1, 0.2066
0.8, 1.90983, 1, 0.206947
0.82, 1.91058, 1, 0.207288
0.84, 1.91132, 1, 0.207624
0.86, 1.91204, 1, 0.207955
0.88, 1.91276, 1, 0.208282
0.9, 1.91346, 1, 0.208604
0.92, 1.91416, 1, 0.208921
0.94, 1.91484, 1, 0.209233
0.96, 1.91551, 1, 0.209541
0.98, 1.91617, 1, 0.209844
1, 1.91683, 1, 0.210143
1.02, 1.91747, 2, 0.00170284
1.04, 1.9181, 2, 0.00167684
1.06, 1.91872, 2, 0.00165143
1.08, 1.91934, 2, 0.0016266
1.1, 1.91994, 2, 0.00160233
1.12, 1.92054, 2, 0.0015786
1.14, 1.92112, 2, 0.00155541
1.16, 1.9217, 2, 0.00153273
1.18, 1.92227, 2, 0.00151055
1.2, 1.92283, 2, 0.00148887
1.22, 1.92338, 2, 0.00146767
1.24, 1.92392, 2, 0.00144693
1.26, 1.92446, 2, 0.00142665
1.28, 1.92499, 2, 0.0014068
1.3, 1.9255, 2, 0.00138739
1.32, 1.92602, 2, 0.0013684
1.34, 1.92652, 2, 0.00134982
1.36, 1.92702, 2, 0.00133164
1.38, 1.92751, 2, 0.00131385
1.4, 1.92799, 2, 0.00129643
1.42, 1.92846, 2, 0.00127939
1.44, 1.92893, 2, 0.0012627
1.46, 1.92939, 2, 0.00124637
1.48, 1.92985, 2, 0.00123038
1.5, 1.93029, 2, 0.00121472
1.52, 1.93074, 2, 0.0011994
1.54, 1.93117, 2, 0.00118438
1.56, 1.9316, 2, 0.00116968
1.58, 1.93202, 2, 0.00115528
1.6, 1.93244, 2, 0.00114118
1.62, 1.93285, 2, 0.00112736
1.64, 1.93325, 2, 0.00111383
1.66, 1.93365, 2, 0.00110056
1.68, 1.93404, 2, 0.00108757
1.7, 1.93443, 2, 0.00107484
1.72, 1.93481, 2, 0.00106236
1.74, 1.93519, 2, 0.00105013
1.76, 1.93556, 2, 0.00103814
1.78, 1.93593, 2, 0.00102639
1.8, 1.93629, 2, 0.00101487
1.82, 1.93664, 2, 0.00100358
1.84, 1.93699, 2, 0.000992509
1.86, 1.93734, 2, 0.000981653
1.88, 1.93768, 2, 0.000971007
1.9, 1.93801, 2, 0.000960566
1.92, 1.93835, 2, 0.000950327
1.94, 1.93867, 2, 0.000940283
1.96, 1.93899, 2, 0.000930431
1.98, 1.93931, 2, 0.000920766
